시대,ID,유형,힌트 여부,힌트
고려,29,4지선다,o,최충헌은 무신 정권기의 집권자입니다.
고려,30,4지선다,x,
고려,31,4지선다,o,거란의 3차 침입에서 해당 인물은 귀주대첩에서 승리를 거두며 거란을 크게 물리쳤습니다.
고려,32,4지선다,o,숙종때 편성된 군사 조직으로 기존의 고려 정규군과는 별개의 조직이며17만에 달하는 대규모 임시 전투부대였습니다.
고려,33,4지선다,o,원 간섭기 이전에 일어난 일을 찾아보세요.
고려,34,4지선다,o,공민왕은 반원 자주 정책과 왕권 강화정책을 펼쳤던 인물입니다. 이에 해당하지 않는 정책을 골라보세요.
고려,35,4지선다,x,
고려,36,4지선다,x,
고려,37,4지선다,o,문벌 귀족은 원 세력을 배경으로 성장한 세력으로 왕권이 약화되고 국가 재정이 궁핍해지는 결과를 가져왔습니다.
고려,38,4지선다,x,
고려,39,4지선다,x,
고려,40,4지선다,x,
고려,41,4지선다,o,김부식이 편찬하였으며 현존하는 가장 오래된 역사서를 찾아보세요.
고려,42,4지선다,x,
고려,43,4지선다,x,
고려,44,4지선다,o,동명왕편은 동명왕(주몽)을 칭송한 영웅 서사시입니다.
고려,45,4지선다,o,문제 속 ‘목판’이라는 말을 잘 생각해보세요.
고려,46,4지선다,o,고려시대 석탑은 다각 다층탑이 많은 특징을 보입니다.
고려,47,4지선다,x,
고려,48,4지선다,x,
고려,49,4지선다,x,
고려,50,4지선다,o,최승로의 시무 28조를 채택하여 유교를 정치 이념으로 확립한 왕이 누구인지 생각해봅시다.
고려,51,4지선다,x,
고려,52,4지선다,x,
고려,53,4지선다,x,
고려,54,4지선다,x,
고려,55,4지선다,x,
고려,56,4지선다,o,"권문세족은 원의 세력을 배경으로, 신진 사대부는 공민왕의 개혁 정치에 힘입어 성장한 세력입니다."
고려,57,4지선다,x,
고려,58,4지선다,o,"개경파는 보수세력, 서경파는 개혁세력이 주를 이루었습니다. "
고려,59,4지선다,o,최충헌은 무신 집권기에 정권을 장악한 인물입니다.
고려,60,4지선다,x,
고려,61,4지선다,x,
고려,62,4지선다,x,
고려,63,4지선다,x,
고려,64,4지선다,x,
고려,65,4지선다,x,
고려,66,4지선다,x,
고려,67,4지선다,o,신진 사대부는 공민왕의 개혁 정치로 성장한 세력입니다.
고려,68,4지선다,x,
고려,69,4지선다,x,
고려,70,4지선다,x,
고려,71,4지선다,x,
고려,72,4지선다,x,
고려,73,4지선다,x,
고려,74,4지선다,o,심성의 도야를 강조하며 성리학 수용의 사상적 토대를 마련한 사람을 찾아보세요.
고려,75,4지선다,x,
고려,76,4지선다,o,망이·망소이의 난은 무신집권기때 일어난 사건입니다. 
고려,77,4지선다,o,거란 → 여진 → 몽골순으로 고려에 침입하였습니다. 
고려,78,4지선다,o,공민왕은 반원정책을 펼첬던 왕입니다.
고려,79,4지선다,o,노비안검법을 실시한 왕은 광종입니다.
고려,80,4지선다,x,
조선시대,1,4지선다,x,
조선시대,2,ox,x,
조선시대,3,4지선다,x,
조선시대,4,4지선다,x,
조선시대,5,4지선다,x,
조선시대,6,4지선다,x,
조선시대,7,4지선다,x,
조선시대,8,4지선다,x,
조선시대,9,4지선다,x,
조선시대,10,ox,x,
조선시대,11,4지선다,x,
조선시대,12,4지선다,x,
조선시대,13,4지선다,x,
조선시대,14,4지선다,x,
조선시대,15,ox,x,
조선시대,16,4지선다,x,
조선시대,17,4지선다,x,
조선시대,18,ox,x,
조선시대,19,4지선다,x,
조선시대,20,4지선다,x,
조선시대,21,4지선다,x,
조선시대,22,4지선다,x,
조선시대,23,4지선다,x,
조선시대,24,4지선다,x,
조선시대,25,ox,x,
조선시대,26,4지선다,x,
조선시대,27,4지선다,x,
조선시대,28,4지선다,x,
조선시대,29,ox,x,
조선시대,30,4지선다,x,
조선시대,31,4지선다,x,
조선시대,32,4지선다,x,
조선시대,33,4지선다,x,
조선시대,34,4지선다,x,
조선시대,35,ox,x,
조선시대,36,ox,x,
조선시대,37,4지선다,x,
조선시대,38,4지선다,x,
조선시대,39,4지선다,x,
조선시대,40,4지선다,x,
조선시대,41,4지선다,x,
조선시대,42,4지선다,x,
조선시대,43,4지선다,x,
조선시대,44,4지선다,x,
조선시대,45,ox,x,
조선시대,46,4지선다,x,
조선시대,47,4지선다,x,
조선시대,48,4지선다,x,
조선시대,49,ox,x,
조선시대,50,4지선다,x,
조선시대,51,4지선다,x,
조선시대,52,4지선다,x,
조선시대,53,4지선다,x,
조선시대,54,4지선다,x,
조선시대,55,ox,x,
조선시대,56,4지선다,x,
조선시대,57,4지선다,x,
조선시대,58,4지선다,x,
조선시대,59,4지선다,x,
조선시대,60,ox,x,
조선시대,61,4지선다,x,
조선시대,62,4지선다,x,
조선시대,63,4지선다,x,
조선시대,64,ox,x,
조선시대,65,4지선다,x,
조선시대,66,4지선다,x,
조선시대,67,4지선다,x,
조선시대,68,4지선다,x,
조선시대,69,4지선다,x,
조선시대,70,ox,x,
조선시대,71,4지선다,x,
조선시대,72,4지선다,x,
조선시대,73,4지선다,x,
조선시대,74,4지선다,x,
조선시대,75,ox,x,
조선시대,76,4지선다,x,
조선시대,77,4지선다,x,
조선시대,78,4지선다,x,
조선시대,79,ox,x,
조선시대,80,4지선다,x,
조선시대,81,4지선다,x,
조선시대,82,4지선다,x,
조선시대,83,4지선다,x,
조선시대,84,4지선다,x,
조선시대,85,ox,x,
조선시대,86,4지선다,x,
조선시대,87,4지선다,x,
조선시대,88,4지선다,x,
조선시대,89,4지선다,x,
조선시대,90,ox,x,
조선시대,91,4지선다,x,
조선시대,92,4지선다,x,
조선시대,93,4지선다,x,
조선시대,94,ox,x,
조선시대,95,4지선다,x,
조선시대,96,4지선다,x,
조선시대,97,4지선다,x,
조선시대,98,4지선다,x,
조선시대,99,4지선다,x,
조선시대,100,ox,x,
조선시대,101,4지선다,x,
조선시대,102,4지선다,x,
조선시대,103,4지선다,x,
조선시대,104,ox,x,
조선시대,105,ox,x,
조선시대,106,ox,x,
조선시대,107,4지선다,x,
조선시대,108,4지선다,x,
조선시대,109,4지선다,x,
조선시대,110,4지선다,x,
근대이후,1,ox,x,
근대이후,2,ox,x,
근대이후,3,ox,x,
근대이후,4,ox,x,
근대이후,5,ox,x,
근대이후,6,ox,x,
근대이후,7,ox,x,
근대이후,8,ox,x,
근대이후,9,ox,x,
근대이후,10,ox,x,
근대이후,11,ox,x,
근대이후,12,ox,x,
근대이후,13,ox,x,
근대이후,14,ox,x,
근대이후,15,ox,x,
근대이후,16,ox,x,
근대이후,17,ox,x,
근대이후,18,ox,x,
근대이후,19,ox,x,
근대이후,20,ox,x,
근대이후,21,ox,x,
근대이후,22,ox,x,
근대이후,23,ox,x,
근대이후,24,ox,x,
근대이후,25,ox,x,
근대이후,26,ox,x,
근대이후,27,ox,x,
근대이후,28,ox,x,
근대이후,29,ox,x,
근대이후,30,ox,x,
근대이후,31,ox,x,
근대이후,32,ox,x,
근대이후,33,ox,x,
근대이후,34,ox,x,
근대이후,35,ox,x,
근대이후,36,ox,x,
근대이후,37,ox,x,
근대이후,38,ox,x,
근대이후,39,ox,x,
근대이후,40,ox,x,
근대이후,41,4지선다,o,독립협회에서 추진한 일에 관련된 선지를 찾아보세요.
근대이후,42,4지선다,o,러·일 전쟁에서 일본이 승리하였습니다.
근대이후,43,4지선다,o,제 1차 한·일 협약의 결과로 일어난 일을 찾아보세요.
근대이후,44,4지선다,x,
근대이후,45,4지선다,x,
근대이후,46,4지선다,x,
근대이후,47,4지선다,x,
근대이후,48,4지선다,x,
근대이후,49,4지선다,x,
근대이후,50,4지선다,o,이 조직은 105인 사건으로 와해되었습니다.
근대이후,51,4지선다,o,강연회를 개최하고 월보를 간행하였으나 일제의 탄압으로 해산된 조직을 찾아보세요.
근대이후,52,4지선다,x,
근대이후,53,4지선다,x,
근대이후,54,4지선다,x,
근대이후,55,4지선다,x,
근대이후,56,4지선다,o,서재필이 발행한 신문을 찾아보세요.
근대이후,57,4지선다,x,
근대이후,58,4지선다,o,최초로 상업 광고를 게재한 신문을 찾아보세요.
근대이후,59,4지선다,x,
근대이후,60,4지선다,x,
근대이후,61,4지선다,o,민족 말살 통치 시기에 대한 선지를 찾아보세요.
근대이후,62,4지선다,o,민족 말살 통치 시기에 대한 선지를 찾아보세요.
근대이후,63,4지선다,o,문화 통치 시기에 대한 선지를 찾아보세요.
근대이후,64,4지선다,x,
근대이후,65,4지선다,x,
근대이후,66,4지선다,x,
근대이후,67,4지선다,x,
근대이후,68,4지선다,o,105인 사건등 일제의 탄압 강화가 배경이 되어 결성된 비밀 결사를 찾아보세요.
근대이후,69,4지선다,x,
근대이후,70,4지선다,x,
근대이후,71,4지선다,x,
근대이후,72,4지선다,o,3·1 운동이 일어난 연도에 대해 생각해보세요.
근대이후,73,4지선다,o,대한민국 임시 정부는 민주공화제의 독립 국가 건설을 목적으로 수립된 정부입니다.
근대이후,74,4지선다,x,
근대이후,75,4지선다,x,
근대이후,76,4지선다,o,빈칸에 들어갈 인물은 지청천입니다. 
근대이후,77,4지선다,o,의열단은 1920년대에 활발한 활동을 보인 독립운동단체입니다.
근대이후,78,4지선다,x,
근대이후,79,4지선다,x,
근대이후,80,4지선다,x,
근대이후,81,4지선다,o,빈칸은 물산 장려 운동에 대한 설명입니다.
근대이후,82,4지선다,o,빈칸에 해당하는 인물은 이상재입니다. 
근대이후,83,4지선다,o,격문을 발표한 항일 운동은 6·10 만세 운동입니다. 
근대이후,84,4지선다,x,
근대이후,85,4지선다,o,빈칸에 들어갈 단체는 신간회입니다. 
근대이후,86,4지선다,x,
근대이후,87,4지선다,x,
근대이후,88,4지선다,x,
근대이후,89,4지선다,x,
근대이후,90,4지선다,x,
근대이후,91,4지선다,o,밑줄 친 단체는 조선 건국 동맹에 대한 설명입니다.
근대이후,92,4지선다,x,
근대이후,93,4지선다,x,
근대이후,94,4지선다,o,자료는 제헌 국회에서 제정한 농지 개혁법 중 일부입니다.
근대이후,95,4지선다,x,
근대이후,96,4지선다,o,제시된 자료는 서울대 문리대 4.19 선언문의 일부입니다.
근대이후,97,4지선다,o,제시된 헌법은 제3차 개헌의 내용으로 장면 정부에서 시행되었습니다.
근대이후,98,4지선다,x,
근대이후,99,4지선다,x,
근대이후,100,4지선다,o,(가)~(라)는 모두 박정희 정부 시기에 일어난 일을 나타내고 있습니다.
근대이후,101,4지선다,x,
근대이후,102,4지선다,x,
근대이후,103,4지선다,o,제시된 자료는 5·18 민주화 운동 당시 광주 시민 궐기문 중 일부입니다.
근대이후,104,4지선다,o,(가)~(라)는 모두 전두환 정부 시기에 일어난 일을 나타내고 있습니다.
근대이후,105,4지선다,o,제시된 자료는 시민과 학생의 6·10 대회 선언문 중 일부입니다.
근대이후,106,4지선다,x,
근대이후,107,4지선다,x,
근대이후,108,4지선다,x,
근대이후,109,4지선다,o,야간 통금이 해제되고 프로 야구가 출범했을 당시 정부를 찾아보세요.
근대이후,110,4지선다,o,경부 고속 철도가 개통했을 당시 정부를 찾아보세요.
근대이후,111,4지선다,o,제1차 한·일 협약과 을사늑약은 러·일 전쟁 중에 채결되었고 한·일 신협약은 고종의 강제 퇴위 이후 체결 되었습니다.
근대이후,112,4지선다,o,한·일 신협약 이후 기유각서를 통해 사법권과 감옥에 대한 사무를 박탈당했습니다.
근대이후,113,4지선다,x,
근대이후,114,4지선다,o,치안 유지법은 일제의 문화 통치 시기에 제정된 법률입니다.
근대이후,115,4지선다,o,"토지조사령과 회사령 공포는 무단통치, 관세 철폐는 문화통치, 국민 징용령 공포는 민족 말살 통치 시기에 일어난 일입니다."
근대이후,116,4지선다,x,
근대이후,117,4지선다,o,이승만 대통령의 정읍 발언을 통해 38선 이북의 소련 철퇴 및 남한만의 단독 정부 수립을 주장하였습니다. 
근대이후,118,4지선다,x,
근대이후,119,4지선다,x,
근대이후,120,4지선다,o,"개성 공단 건설은 김대중 정부, 7·4 남북 공동 성명은 박정의 정부, 남북 기본 합의서 채택은 노태우 정부, 제2차 남북 정상회담은 노무현 정부시기에 일어난 일입니다."
