시대,문제ID,선택지1,선택지2,선택지3,선택지4,답
삼국시대,51,1번,2번,3번,4번,2
삼국시대,52,1번,2번,3번,4번,3
삼국시대,53,화랑도,삼별초,9서당 10정,잡색군,1
삼국시대,54,o,x,,,1
삼국시대,55,1번,2번,3번,4번,3
삼국시대,56,경국대전,팔만대장경,직지심체요절,무구정광대나라니경,4
삼국시대,57,1번,2번,3번,4번,2
삼국시대,58,1번,2번,3번,4번,2
삼국시대,59,1번,2번,3번,4번,1
삼국시대,60,1번,2번,3번,4번,3
삼국시대,61,1번,2번,3번,4번,2
삼국시대,62,1번,2번,3번,4번,3
삼국시대,63,풍수지리설,아미타 신앙,돈오점수,호포론,1
삼국시대,64,o,x,,,2
삼국시대,65,o,x,,,1
고려,1,o,x,,,1
고려,2,o,x,,,2
고려,3,o,x,,,1
고려,4,o,x,,,1
고려,5,o,x,,,1
고려,6,o,x,,,1
고려,7,o,x,,,2
고려,8,o,x,,,2
고려,9,o,x,,,1
고려,10,o,x,,,2
고려,11,o,x,,,2
고려,12,o,x,,,1
고려,13,o,x,,,1
고려,14,o,x,,,1
고려,15,o,x,,,2
고려,16,o,x,,,1
고려,17,o,x,,,1
고려,18,o,x,,,2
고려,19,o,x,,,1
고려,20,o,x,,,2
고려,21,1번,2번,3번,4번,2
고려,22,1번,2번,3번,4번,4
고려,23,1번,2번,3번,4번,1
고려,24,1번,2번,3번,4번,2
고려,25,1번,2번,3번,4번,3
고려,26,1번,2번,3번,4번,1
고려,27,1번,2번,3번,4번,4
고려,28,1번,2번,3번,4번,4
고려,29,1번,2번,3번,4번,2
고려,30,1번,2번,3번,4번,1
고려,31,1번,2번,3번,4번,3
고려,32,1번,2번,3번,4번,4
고려,33,1번,2번,3번,4번,3
고려,34,1번,2번,3번,4번,1
고려,35,1번,2번,3번,4번,1
고려,36,1번,2번,3번,4번,2
고려,37,1번,2번,3번,4번,3
고려,38,1번,2번,3번,4번,4
고려,39,1번,2번,3번,4번,4
고려,40,1번,2번,3번,4번,3
고려,41,1번,2번,3번,4번,2
고려,42,1번,2번,3번,4번,1
고려,43,1번,2번,3번,4번,3
고려,44,1번,2번,3번,4번,3
고려,45,1번,2번,3번,4번,1
고려,46,1번,2번,3번,4번,2
고려,47,1번,2번,3번,4번,2
고려,48,1번,2번,3번,4번,3
고려,49,1번,2번,3번,4번,4
고려,50,1번,2번,3번,4번,1
고려,51,1번,2번,3번,4번,1
고려,52,1번,2번,3번,4번,2
고려,53,1번,2번,3번,4번,4
고려,54,1번,2번,3번,4번,4
고려,55,1번,2번,3번,4번,1
고려,56,1번,2번,3번,4번,4
고려,57,1번,2번,3번,4번,2
고려,58,1번,2번,3번,4번,4
고려,59,1번,2번,3번,4번,2
고려,60,1번,2번,3번,4번,1
고려,61,1번,2번,3번,4번,2
고려,62,1번,2번,3번,4번,3
고려,63,1번,2번,3번,4번,4
고려,64,1번,2번,3번,4번,3
고려,65,1번,2번,3번,4번,2
고려,66,1번,2번,3번,4번,1
고려,67,1번,2번,3번,4번,4
고려,68,1번,2번,3번,4번,4
고려,69,1번,2번,3번,4번,3
고려,70,1번,2번,3번,4번,2
고려,71,1번,2번,3번,4번,3
고려,72,1번,2번,3번,4번,1
고려,73,1번,2번,3번,4번,3
고려,74,1번,2번,3번,4번,4
고려,75,1번,2번,3번,4번,3
고려,76,1번,2번,3번,4번,3
고려,77,(가)-(나)-(다)-(라),(가)-(다)-(라)-(나),(나)-(다)-(가)-(라),(다)-(나)-(가)-(라),3
고려,78,1번,2번,3번,4번,4
고려,79,1번,2번,3번,4번,1
고려,80,(가)-(나)-(다)-(라),(가)-(다)-(나)-(라),(나)-(다)-(가)-(라),(나)-(가)-(라)-(다),2
조선시대,1,1번,2번,3번,4번,3
조선시대,2,o,x,,,2
조선시대,3,1번,2번,3번,4번,4
조선시대,4,1번,2번,3번,4번,2
조선시대,5,1번,2번,3번,4번,1
조선시대,6,1번,2번,3번,4번,3
조선시대,7,1번,2번,3번,4번,1
조선시대,8,1번,2번,3번,4번,3
조선시대,9,1번,2번,3번,4번,2
조선시대,10,o,x,,,1
조선시대,11,1번,2번,3번,4번,3
조선시대,12,1번,2번,3번,4번,4
조선시대,13,1번,2번,3번,4번,2
조선시대,14,1번,2번,3번,4번,1
조선시대,15,o,x,,,2
조선시대,16,1번,2번,3번,4번,2
조선시대,17,1번,2번,3번,4번,1
조선시대,18,o,x,,,1
조선시대,19,a - c - d - b,d - a - b - c,b - a - c - d,b - c - a - d,3
조선시대,20,a - b - d - c,b - c - d - a,d - a - c - b,a - d - b - c,4
조선시대,21,1번,2번,3번,4번,1
조선시대,22,1번,2번,3번,4번,2
조선시대,23,1번,2번,3번,4번,4
조선시대,24,1번,2번,3번,4번,3
조선시대,25,o,x,,,2
조선시대,26,1번,2번,3번,4번,1
조선시대,27,1번,2번,3번,4번,2
조선시대,28,1번,2번,3번,4번,4
조선시대,29,o,x,,,1
조선시대,30,1번,2번,3번,4번,3
조선시대,31,1번,2번,3번,4번,4
조선시대,32,1번,2번,3번,4번,1
조선시대,33,1번,2번,3번,4번,2
조선시대,34,1번,2번,3번,4번,1
조선시대,35,o,x,,,1
조선시대,36,o,x,,,2
조선시대,37,1번,2번,3번,4번,3
조선시대,38,1번,2번,3번,4번,4
조선시대,39,1번,2번,3번,4번,1
조선시대,40,1번,2번,3번,4번,2
조선시대,41,1번,2번,3번,4번,3
조선시대,42,1번,2번,3번,4번,4
조선시대,43,1번,2번,3번,4번,1
조선시대,44,1번,2번,3번,4번,3
조선시대,45,o,x,,,1
조선시대,46,1번,2번,3번,4번,2
조선시대,47,1번,2번,3번,4번,4
조선시대,48,1번,2번,3번,4번,1
조선시대,49,o,x,,,2
조선시대,50,1번,2번,3번,4번,2
조선시대,51,1번,2번,3번,4번,2
조선시대,52,1번,2번,3번,4번,1
조선시대,53,1번,2번,3번,4번,3
조선시대,54,1번,2번,3번,4번,4
조선시대,55,o,x,,,1
조선시대,56,1번,2번,3번,4번,2
조선시대,57,1번,2번,3번,4번,1
조선시대,58,1번,2번,3번,4번,3
조선시대,59,1번,2번,3번,4번,2
조선시대,60,o,x,,,1
조선시대,61,1번,2번,3번,4번,4
조선시대,62,1번,2번,3번,4번,1
조선시대,63,1번,2번,3번,4번,3
조선시대,64,o,x,,,2
조선시대,65,1번,2번,3번,4번,2
조선시대,66,1번,2번,3번,4번,2
조선시대,67,1번,2번,3번,4번,4
조선시대,68,1번,2번,3번,4번,4
조선시대,69,1번,2번,3번,4번,1
조선시대,70,o,x,,,2
조선시대,71,1번,2번,3번,4번,3
조선시대,72,1번,2번,3번,4번,1
조선시대,73,1번,2번,3번,4번,2
조선시대,74,1번,2번,3번,4번,1
조선시대,75,o,x,,,2
조선시대,76,1번,2번,3번,4번,3
조선시대,77,1번,2번,3번,4번,4
조선시대,78,1번,2번,3번,4번,2
조선시대,79,o,x,,,1
조선시대,80,1번,2번,3번,4번,1
조선시대,81,1번,2번,3번,4번,3
조선시대,82,1번,2번,3번,4번,2
조선시대,83,1번,2번,3번,4번,4
조선시대,84,1번,2번,3번,4번,1
조선시대,85,o,x,,,1
조선시대,86,1번,2번,3번,4번,3
조선시대,87,1번,2번,3번,4번,4
조선시대,88,1번,2번,3번,4번,1
조선시대,89,1번,2번,3번,4번,3
조선시대,90,o,x,,,2
조선시대,91,1번,2번,3번,4번,4
조선시대,92,1번,2번,3번,4번,2
조선시대,93,1번,2번,3번,4번,3
조선시대,94,o,x,,,1
조선시대,95,1번,2번,3번,4번,1
조선시대,96,1번,2번,3번,4번,3
조선시대,97,가 - 다 - 라 - 나,다 - 라 - 가 - 나,다 - 가 - 나 - 라,나 - 라 - 가 - 다,2
조선시대,98,1번,2번,3번,4번,4
조선시대,99,1번,2번,3번,4번,1
조선시대,100,o,x,,,1
조선시대,101,1번,2번,3번,4번,3
조선시대,102,1번,2번,3번,4번,4
조선시대,103,1번,2번,3번,4번,1
조선시대,104,o,x,,,2
조선시대,105,o,x,,,1
조선시대,106,o,x,,,2
조선시대,107,1번,2번,3번,4번,2
조선시대,108,1번,2번,3번,4번,3
조선시대,109,1번,2번,3번,4번,1
조선시대,110,1번,2번,3번,4번,2
근대이후,1,o,x,,,1
근대이후,2,o,x,,,1
근대이후,3,o,x,,,2
근대이후,4,o,x,,,2
근대이후,5,o,x,,,1
근대이후,6,o,x,,,2
근대이후,7,o,x,,,1
근대이후,8,o,x,,,1
근대이후,9,o,x,,,1
근대이후,10,o,x,,,1
근대이후,11,o,x,,,2
근대이후,12,o,x,,,2
근대이후,13,o,x,,,1
근대이후,14,o,x,,,1
근대이후,15,o,x,,,2
근대이후,16,o,x,,,1
근대이후,17,o,x,,,2
근대이후,18,o,x,,,2
근대이후,19,o,x,,,1
근대이후,20,o,x,,,1
근대이후,21,o,x,,,1
근대이후,22,o,x,,,2
근대이후,23,o,x,,,2
근대이후,24,o,x,,,1
근대이후,25,o,x,,,1
근대이후,26,o,x,,,2
근대이후,27,o,x,,,1
근대이후,28,o,x,,,1
근대이후,29,o,x,,,2
근대이후,30,o,x,,,1
근대이후,31,o,x,,,2
근대이후,32,o,x,,,1
근대이후,33,o,x,,,2
근대이후,34,o,x,,,1
근대이후,35,o,x,,,1
근대이후,36,o,x,,,1
근대이후,37,o,x,,,1
근대이후,38,o,x,,,2
근대이후,39,o,x,,,1
근대이후,40,o,x,,,1
근대이후,41,1번,2번,3번,4번,4
근대이후,42,1번,2번,3번,4번,2
근대이후,43,1번,2번,3번,4번,3
근대이후,44,1번,2번,3번,4번,3
근대이후,45,1번,2번,3번,4번,1
근대이후,46,1번,2번,3번,4번,2
근대이후,47,1번,2번,3번,4번,1
근대이후,48,1번,2번,3번,4번,1
근대이후,49,1번,2번,3번,4번,4
근대이후,50,1번,2번,3번,4번,3
근대이후,51,1번,2번,3번,4번,1
근대이후,52,1번,2번,3번,4번,1
근대이후,53,1번,2번,3번,4번,2
근대이후,54,1번,2번,3번,4번,3
근대이후,55,1번,2번,3번,4번,1
근대이후,56,1번,2번,3번,4번,2
근대이후,57,1번,2번,3번,4번,1
근대이후,58,1번,2번,3번,4번,4
근대이후,59,1번,2번,3번,4번,4
근대이후,60,1번,2번,3번,4번,3
근대이후,61,1번,2번,3번,4번,3
근대이후,62,1번,2번,3번,4번,1
근대이후,63,1번,2번,3번,4번,2
근대이후,64,1번,2번,3번,4번,4
근대이후,65,1번,2번,3번,4번,3
근대이후,66,1번,2번,3번,4번,2
근대이후,67,1번,2번,3번,4번,1
근대이후,68,1번,2번,3번,4번,2
근대이후,69,1번,2번,3번,4번,3
근대이후,70,1번,2번,3번,4번,4
근대이후,71,1번,2번,3번,4번,2
근대이후,72,1번,2번,3번,4번,4
근대이후,73,1번,2번,3번,4번,3
근대이후,74,1번,2번,3번,4번,1
근대이후,75,1번,2번,3번,4번,2
근대이후,76,1번,2번,3번,4번,1
근대이후,77,1번,2번,3번,4번,1
근대이후,78,1번,2번,3번,4번,3
근대이후,79,1번,2번,3번,4번,2
근대이후,80,1번,2번,3번,4번,2
근대이후,81,1번,2번,3번,4번,3
근대이후,82,1번,2번,3번,4번,1
근대이후,83,1번,2번,3번,4번,4
근대이후,84,1번,2번,3번,4번,4
근대이후,85,1번,2번,3번,4번,4
근대이후,86,1번,2번,3번,4번,2
근대이후,87,1번,2번,3번,4번,1
근대이후,88,1번,2번,3번,4번,3
근대이후,89,1번,2번,3번,4번,3
근대이후,90,1번,2번,3번,4번,1
근대이후,91,1번,2번,3번,4번,1
근대이후,92,1번,2번,3번,4번,3
근대이후,93,1번,2번,3번,4번,2
근대이후,94,1번,2번,3번,4번,4
근대이후,95,1번,2번,3번,4번,3
근대이후,96,1번,2번,3번,4번,1
근대이후,97,1번,2번,3번,4번,2
근대이후,98,1번,2번,3번,4번,3
근대이후,99,1번,2번,3번,4번,4
근대이후,100,1번,2번,3번,4번,4
근대이후,101,1번,2번,3번,4번,1
근대이후,102,1번,2번,3번,4번,1
근대이후,103,1번,2번,3번,4번,3
근대이후,104,1번,2번,3번,4번,2
근대이후,105,1번,2번,3번,4번,1
근대이후,106,1번,2번,3번,4번,1
근대이후,107,1번,2번,3번,4번,3
근대이후,108,1번,2번,3번,4번,3
근대이후,109,1번,2번,3번,4번,2
근대이후,110,1번,2번,3번,4번,4
근대이후,111,(가) - (다) - (나) - (라),(나) - (다) - (라) - (가),(다) - (가) - (라) - (나),(라) - (가) - (다) - (나),4
근대이후,112,1번,2번,3번,4번,3
근대이후,113,1번,2번,3번,4번,1
근대이후,114,1번,2번,3번,4번,3
근대이후,115,(가) - (나) - (다) - (라),(나) - (가) - (다) - (라),(다) - (가) - (라) - (나),(라) - (나) - (가) - (다),2
근대이후,116,(가) - (나) - (라) - (다),(가) - (라) - (나) - (다),(나) - (가) - (다) - (라),(나) - (다) - (가) - (라),1
근대이후,117,1번,2번,3번,4번,3
근대이후,118,(가) - (나) - (라) - (다),(가) - (라) - (나) - (다),(나) - (가) - (다) - (라),(나) - (다) - (가) - (라),3
근대이후,119,1번,2번,3번,4번,1
근대이후,120,(가) - (나) - (라) - (다),(가) - (라) - (나) - (다),(나) - (가) - (다) - (라),(나) - (다) - (가) - (라),4
